 (-77.0374832 -11.8673997, -77.0372794 -11.8676648),C.10-C.2,
 (-77.0376426 -11.8789729, -77.038281 -11.8784348),ParqueZonal - MancoCapac,
 (-77.037728 -11.8669868, -77.0374919 -11.8668241),AymiTupac-C.12,
 (-77.0377514 -11.8670637, -77.0375315 -11.8673472),C.10-C.4,
 (-77.0378439 -11.8787659, -77.0374308 -11.8779417, -77.0371679 -11.8774378, -77.0371197 -11.8773144, -77.0372296 -11.8771648, -77.036999 -11.8768734, -77.0367871 -11.8764272, -77.0364786 -11.8760046, -77.036146 -11.8757789, -77.0355988 -11.8755112),ParqueZonal - JrPacifico,
 (-77.03809 -11.868804, -77.0379103 -11.8690612),C.9 - LosGallinazos,
 (-77.0382022 -11.864051, -77.0385589 -11.8637675, -77.0386474 -11.8636546, -77.038752 -11.8635181, -77.0388915 -11.863253),Ciruelas-Manzanas,
 (-77.0382429 -11.8683709, -77.0381276 -11.8687253),C.9 - C.Collasuyo,
 (-77.0384549 -11.867475, -77.0377897 -11.8670131),AymiTupac-C.10,
 (-77.0384977 -11.8676018, -77.0382724 -11.8683184),C.9-C.2,
 (-77.0385434 -11.8670997, -77.0371996 -11.8660471),C.7-C.13,
 (-77.0386051 -11.8671968, -77.0384978 -11.8675328),C.9-AymiTupac,
 (-77.0386336 -11.8648753, -77.0379791 -11.8653767, -77.0374105 -11.8658596),C.13-C.8,
 (-77.0387006 -11.8648805, -77.038883 -11.8651352),AymiTupac-C.5,
 (-77.0387784 -11.8666412, -77.0386094 -11.8671426),C.9-C.7,
 (-77.0389163 -11.8652316, -77.0392382 -11.8657225),AymiTupac-C.4,
 (-77.0389431 -11.8651109, -77.0391845 -11.8650006, -77.039383 -11.8651293),C.5-AymiTupac,
 (-77.0389554 -11.8663499, -77.0388454 -11.8664706, -77.038765 -11.8666228),C.9-C.8,
 (-77.0391583 -11.8637188, -77.0394614 -11.8631413, -77.0395124 -11.8630731),Lucumas-Av.A,
 (-77.0391719 -11.8664718, -77.038842 -11.866065, -77.0387481 -11.8659836, -77.0385764 -11.8660177),C.12-C.7,
 (-77.0392548 -11.8657799, -77.0394479 -11.8660083),AymiTupac-C.9,
 (-77.0394373 -11.8639776, -77.0391583 -11.8638043),Fresas-Lucumas,
 (-77.0394382 -11.8642243, -77.0386818 -11.8648412),C.13-AymiTupac,
 (-77.0394641 -11.8639881, -77.0396465 -11.8640799),Fresas-C.13,
 (-77.0395231 -11.8641797, -77.0403331 -11.8634736),C.13-Avenue3,
 (-77.0396184 -11.8702862, -77.0401361 -11.8701051),C.5-C.9,
 (-77.0397692 -11.8653471, -77.0392999 -11.8657041),C.4-C.5,
 (-77.0398154 -11.8653048, -77.0402016 -11.8650449, -77.0404162 -11.8651788),C.4. Ca.3,
 (-77.040175 -11.870127, -77.0405639 -11.8704683),C.9-AymiTupac,
 (-77.0402128 -11.870069, -77.0407814 -11.8696254, -77.0417255 -11.868893),C.5-C.10,
 (-77.0404043 -11.8651791, -77.0404526 -11.8652526),C.4-C.9,
 (-77.0404687 -11.8652093, -77.0404674 -11.865141),C.9-Ca.3,
 (-77.0404902 -11.8652946, -77.0404419 -11.8653838, -77.039597 -11.8659377, -77.0390485 -11.8663025),C.9-C.12,
 (-77.0406015 -11.8704866, -77.0409609 -11.8707544),C.9-C.7,
 (-77.040987 -11.8707879, -77.0412901 -11.8704257, -77.0415127 -11.8702078, -77.0416603 -11.870171, -77.0419124 -11.8702892, -77.0422986 -11.8705543),C.7-Ca.3,
 (-77.0409897 -11.8708089, -77.0420975 -11.8716436, -77.0423201 -11.8717853),C.9-C.Collasuyo,
 (-77.0421618 -11.8712157, -77.0419151 -11.8710084),C.8-Ca.3,
 (-77.0421618 -11.8712157, -77.0422933 -11.8712997),C.8-Caudivilla,
WKT,nombre,descripción
